   24.9744720       19.9795856    
   25.0993462       20.0543861    
   25.2242184       20.1289330    
   25.3490925       20.2032356    
   25.4739666       20.2772865    
   25.5988388       20.3510857    
   25.7237129       20.4246349    
   25.8485870       20.4979362    
   25.9734612       20.5709877    
   26.0983334       20.6437893    
   26.2232075       20.7163410    
   26.3480816       20.7886429    
   26.4729538       20.8606949    
   26.5978279       20.9324970    
   26.7227020       21.0040512    
   26.8475742       21.0753517    
   26.9724483       21.1464062    
   27.0973225       21.2172089    
   27.2221947       21.2877617    
   27.3470688       21.3580666    
   27.4719429       21.4281216    
   27.5968170       21.4979248    
   27.7216892       21.5674782    
   27.8465633       21.6367836    
   27.9714375       21.7058411    
   28.0963097       21.7746429    
   28.2211838       21.8432007    
   28.3460579       21.9115067    
   28.4709301       21.9795609    
   28.5958042       22.0473671    
   28.7206783       22.1149254    
   28.8455505       22.1822319    
   28.9704247       22.2492886    
   29.0952988       22.3160973    
   29.2201729       22.3826561    
   29.3450451       22.4489613    
   29.4699192       22.5150204    
   29.5947933       22.5808296    
   29.7196655       22.6463871    
   29.8445396       22.7116966    
   29.9694138       22.7767563    
   30.0942860       22.8415642    
   30.2191601       22.9061241    
   30.3440342       22.9704342    
   30.4689064       23.0344925    
   30.5937805       23.0983047    
   30.7186546       23.1618652    
   30.8435268       23.2251740    
   30.9684010       23.2882366    
   31.0932751       23.3510475    
   31.2181492       23.4136105    
   31.3430214       23.4759216    
   31.4678955       23.5379829    
   31.5927696       23.5997963    
   31.7176418       23.6613579    
   31.8425159       23.7226715    
   31.9673901       23.7837353    
   32.0922623       23.8445473    
   32.2171364       23.9051132    
   32.3420105       23.9654274    
   32.4668846       24.0254898    
   32.5917587       24.0853062    
   32.7166290       24.1448669    
   32.8415031       24.2041836    
   32.9663773       24.2632484    
   33.0912514       24.3220634    
   33.2161255       24.3806305    
   33.3409996       24.4389477    
   33.4658699       24.4970093    
   33.5907440       24.5548286    
   33.7156181       24.6123943    
   33.8404922       24.6697121    
   33.9653664       24.7267799    
   34.0902405       24.7835979    
   34.2151146       24.8401661    
   34.3399849       24.8964806    
   34.4648590       24.9525490    
   34.5897331       25.0083694    
   34.7146072       25.0639381    
   34.8394814       25.1192570    
   34.9643555       25.1743279    
   35.0892258       25.2291431    
   35.2140999       25.2837143    
   35.3389740       25.3380337    
   35.4638481       25.3921051    
   35.5887222       25.4459267    
   35.7135963       25.4994965    
   35.8384705       25.5528183    
   35.9633408       25.6058865    
   36.0882149       25.6587086    
   36.2130890       25.7112808    
   36.3379631       25.7636032    
   36.4628372       25.8156757    
   36.5877113       25.8675003    
   36.7125816       25.9190674    
   36.8374557       25.9703903    
   36.9623299       26.0214653    
   37.0872040       26.0722885    
