-0.054 287
-0.069 287.0208333333
-0.076 287.0416666667
-0.084 287.0625
-0.094 287.0833333333
-0.104 287.1041666667
-0.117 287.125
-0.127 287.1458333333
-0.134 287.1666666667
-0.141 287.1875
-0.148 287.2083333333
-0.147 287.2291666667
-0.151 287.25
-0.155 287.2708333333
-0.151 287.2916666667
-0.155 287.3125
-0.154 287.3333333333
-0.15 287.3541666667
-0.145 287.375
0.113 287.3958333333
0.254 287.4166666667
0.407 287.4375
0.547 287.4583333333
0.58 287.4791666667
0.499 287.5
0.371 287.5208333333
0.246 287.5416666667
0.127 287.5625
-0.021 287.5833333333
-0.041 287.6041666667
-0.055 287.625
-0.067 287.6458333333
-0.076 287.6666666667
-0.083 287.6875
-0.089 287.7083333333
-0.094 287.7291666667
-0.1 287.75
-0.105 287.7708333333
-0.109 287.7916666667
-0.111 287.8125
-0.118 287.8333333333
-0.124 287.8541666667
-0.128 287.875
-0.129 287.8958333333
0.006 287.9166666667
0.129 287.9375
0.246 287.9583333333
0.326 287.9791666667
0.3 288
0.209 288.0208333333
0.117 288.0416666667
-0.017 288.0625
-0.048 288.0833333333
-0.065 288.1041666667
-0.074 288.125
-0.084 288.1458333333
-0.091 288.1666666667
-0.098 288.1875
-0.104 288.2083333333
-0.105 288.2291666667
-0.11 288.25
-0.114 288.2708333333
-0.117 288.2916666667
-0.12 288.3125
-0.124 288.3333333333
-0.126 288.3541666667
-0.133 288.375
-0.133 288.3958333333
0.089 288.4166666667
0.261 288.4375
0.466 288.4583333333
0.639 288.4791666667
0.697 288.5
0.617 288.5208333333
0.479 288.5416666667
0.337 288.5625
0.198 288.5833333333
0.067 288.6041666667
-0.041 288.625
-0.059 288.6458333333
-0.069 288.6666666667
-0.08 288.6875
-0.088 288.7083333333
-0.094 288.7291666667
-0.095 288.75
-0.099 288.7708333333
-0.101 288.7916666667
-0.105 288.8125
-0.107 288.8333333333
-0.11 288.8541666667
-0.112 288.875
-0.114 288.8958333333
-0.113 288.9166666667
0.059 288.9375
0.225 288.9583333333
0.403 288.9791666667
0.553 289
0.588 289.0208333333
0.514 289.0416666667
0.398 289.0625
0.27 289.0833333333
0.145 289.1041666667
-0.014 289.125
-0.025 289.1458333333
-0.04 289.1666666667
-0.045 289.1875
-0.051 289.2083333333
-0.055 289.2291666667
-0.06 289.25
-0.062 289.2708333333
-0.064 289.2916666667
-0.065 289.3125
-0.065 289.3333333333
-0.068 289.3541666667
-0.07 289.375
-0.077 289.3958333333
-0.081 289.4166666667
0.037 289.4375
0.23 289.4583333333
0.424 289.4791666667
0.615 289.5
0.717 289.5208333333
0.665 289.5416666667
0.524 289.5625
0.375 289.5833333333
0.234 289.6041666667
0.101 289.625
-0.004 289.6458333333
-0.023 289.6666666667
-0.035 289.6875
-0.047 289.7083333333
-0.052 289.7291666667
-0.057 289.75
-0.065 289.7708333333
-0.066 289.7916666667
-0.071 289.8125
-0.075 289.8333333333
-0.078 289.8541666667
-0.083 289.875
-0.084 289.8958333333
-0.088 289.9166666667
-0.09 289.9375
0.031 289.9583333333
0.239 289.9791666667
